County,County_State,Population,Male,Female,White,Black,Native,Asian,Pacific,Hispanic,Per_Capita_Income,Poverty_Count,Poverty_Rate
003,"Baldwin County, Alabama",246435.0,120664.0,125771.0,204709.0,17251.0,1012.0,2363.0,111.0,,38198.00,32313.0,13.11
015,"Calhoun County, Alabama",115788.0,56554.0,59234.0,80477.0,25960.0,260.0,1372.0,122.0,,28701.00,20450.0,17.66
043,"Cullman County, Alabama",90665.0,45051.0,45614.0,82050.0,1127.0,184.0,264.0,47.0,,32189.00,16019.0,17.67
049,"DeKalb County, Alabama",71998.0,36024.0,35974.0,57615.0,885.0,2726.0,132.0,1877.0,,24633.00,13967.0,19.40
051,"Elmore County, Alabama",89563.0,43448.0,46115.0,64770.0,18477.0,196.0,423.0,0.0,,33833.00,9133.0,10.20
055,"Etowah County, Alabama",103088.0,50443.0,52645.0,79894.0,13521.0,1600.0,927.0,0.0,,28468.00,17774.0,17.24
069,"Houston County, Alabama",108079.0,51728.0,56351.0,70658.0,28787.0,450.0,1136.0,0.0,,33381.00,18773.0,17.37
073,"Jefferson County, Alabama",665409.0,316006.0,349403.0,325685.0,285070.0,1859.0,12783.0,23.0,,39478.00,106039.0,15.94
077,"Lauderdale County, Alabama",95878.0,45733.0,50145.0,80673.0,9141.0,247.0,506.0,0.0,,32969.00,10642.0,11.10
081,"Lee County, Alabama",180773.0,89415.0,91358.0,121889.0,39839.0,184.0,7469.0,96.0,,33233.00,26217.0,14.50
083,"Limestone County, Alabama",110900.0,56166.0,54734.0,84085.0,15139.0,670.0,1923.0,195.0,,39748.00,10200.0,9.20
089,"Madison County, Alabama",403565.0,199367.0,204198.0,255122.0,96417.0,2390.0,9760.0,287.0,,45934.00,44774.0,11.09
095,"Marshall County, Alabama",99423.0,49035.0,50388.0,77289.0,1192.0,1689.0,527.0,247.0,,27972.00,16625.0,16.72
097,"Mobile County, Alabama",411411.0,197023.0,214388.0,229044.0,146912.0,1228.0,8827.0,252.0,,31448.00,77232.0,18.77
101,"Montgomery County, Alabama",226361.0,107059.0,119302.0,69448.0,136285.0,393.0,7717.0,70.0,,31483.00,37581.0,16.60
103,"Morgan County, Alabama",124211.0,61086.0,63125.0,93093.0,16173.0,874.0,791.0,0.0,,32307.00,15221.0,12.25
115,"St. Clair County, Alabama",93932.0,46470.0,47462.0,78485.0,10230.0,253.0,242.0,189.0,,32005.00,12040.0,12.82
117,"Shelby County, Alabama",230115.0,111938.0,118177.0,178014.0,32134.0,118.0,5203.0,94.0,,45451.00,14066.0,6.11
121,"Talladega County, Alabama",80704.0,37822.0,42882.0,50367.0,24595.0,57.0,362.0,0.0,,32920.00,13948.0,17.28
125,"Tuscaloosa County, Alabama",236780.0,112317.0,124463.0,143552.0,74201.0,824.0,3985.0,0.0,,33291.00,36862.0,15.57
020,"Anchorage Municipality, Alaska",287145.0,145797.0,141348.0,165167.0,15453.0,22335.0,29175.0,9019.0,,48696.00,31222.0,10.87
090,"Fairbanks North Star Borough, Alaska",95356.0,52872.0,42484.0,65499.0,3036.0,4453.0,2119.0,2568.0,,39893.00,6528.0,6.85
170,"Matanuska-Susitna Borough, Alaska",113325.0,59378.0,53947.0,87056.0,986.0,6426.0,2036.0,415.0,,37573.00,11501.0,10.15
001,"Apache County, Arizona",65432.0,32379.0,33053.0,12705.0,320.0,48041.0,368.0,13.0,,20725.00,18087.0,27.64
003,"Cochise County, Arizona",125663.0,64013.0,61650.0,74388.0,4719.0,728.0,2691.0,217.0,,31277.00,21421.0,17.05
005,"Coconino County, Arizona",144060.0,70586.0,73474.0,80283.0,2639.0,34467.0,2498.0,885.0,,33276.00,22639.0,15.71
013,"Maricopa County, Arizona",4551524.0,2268514.0,2283010.0,2622765.0,263843.0,90226.0,209345.0,9828.0,1460671.0,42976.00,483305.0,10.62
015,"Mohave County, Arizona",220816.0,112493.0,108323.0,173663.0,2944.0,4769.0,2582.0,327.0,,38208.00,36518.0,16.54
017,"Navajo County, Arizona",108650.0,54153.0,54497.0,49801.0,1785.0,45016.0,325.0,424.0,,24581.00,29857.0,27.48
019,"Pima County, Arizona",1057597.0,524150.0,533447.0,601445.0,36470.0,33121.0,33618.0,1416.0,406955.0,37595.00,148963.0,14.09
021,"Pinal County, Arizona",464154.0,240400.0,223754.0,280113.0,21893.0,25515.0,8522.0,1262.0,,35517.00,49295.0,10.62
025,"Yavapai County, Arizona",246191.0,121122.0,125069.0,199885.0,1566.0,4006.0,2669.0,24.0,,39332.00,34467.0,14.00
027,"Yuma County, Arizona",207842.0,106122.0,101720.0,75778.0,3794.0,2093.0,2317.0,109.0,,27331.00,26544.0,12.77
007,"Benton County, Arkansas",302863.0,151676.0,151187.0,182778.0,6325.0,7272.0,14123.0,2097.0,,43074.00,21740.0,7.18
031,"Craighead County, Arkansas",113017.0,54169.0,58848.0,82679.0,16616.0,259.0,1782.0,163.0,,34301.00,19650.0,17.39
045,"Faulkner County, Arkansas",127665.0,61992.0,65673.0,102235.0,13562.0,45.0,1506.0,91.0,,30488.00,19633.0,15.38
051,"Garland County, Arkansas",100089.0,49170.0,50919.0,82431.0,7616.0,324.0,679.0,0.0,,32877.00,17625.0,17.61
069,"Jefferson County, Arkansas",64246.0,31983.0,32263.0,24442.0,36907.0,0.0,143.0,120.0,,22835.00,11833.0,18.42
085,"Lonoke County, Arkansas",75225.0,38287.0,36938.0,63146.0,3668.0,103.0,804.0,0.0,,28500.00,9257.0,12.31
119,"Pulaski County, Arkansas",399145.0,190255.0,208890.0,202247.0,146275.0,1465.0,9147.0,112.0,,38414.00,68846.0,17.25
125,"Saline County, Arkansas",127357.0,61563.0,65794.0,101581.0,10802.0,263.0,1649.0,0.0,,34106.00,13451.0,10.56
131,"Sebastian County, Arkansas",129059.0,64053.0,65006.0,86945.0,5741.0,1182.0,5187.0,1059.0,,30395.00,22390.0,17.35
143,"Washington County, Arkansas",256054.0,127322.0,128732.0,160466.0,8987.0,3944.0,6008.0,7102.0,,33756.00,36490.0,14.25
145,"White County, Arkansas",77755.0,37469.0,40286.0,66500.0,3319.0,38.0,681.0,0.0,,25172.00,12189.0,15.68
001,"Alameda County, California",1628997.0,810070.0,818927.0,491721.0,159004.0,15768.0,545038.0,10261.0,361988.0,63088.00,161706.0,9.93
007,"Butte County, California",207303.0,103480.0,103823.0,145871.0,3539.0,2893.0,11882.0,900.0,,37248.00,38102.0,18.38
013,"Contra Costa County, California",1156966.0,569707.0,587259.0,472779.0,100358.0,8043.0,223114.0,5970.0,311808.0,59816.00,99761.0,8.62
017,"El Dorado County, California",192646.0,96589.0,96057.0,149628.0,1155.0,956.0,11504.0,190.0,,57717.00,13897.0,7.21
019,"Fresno County, California",1015190.0,510861.0,504329.0,332288.0,46264.0,17291.0,110524.0,1635.0,,31410.00,186491.0,18.37
023,"Humboldt County, California",135010.0,67044.0,67966.0,97894.0,1781.0,5675.0,3604.0,222.0,,35883.00,24333.0,18.02
025,"Imperial County, California",178713.0,91304.0,87409.0,31944.0,4145.0,2481.0,2881.0,54.0,,23564.00,38933.0,21.79
029,"Kern County, California",916108.0,468373.0,447735.0,402044.0,47574.0,14878.0,50010.0,2814.0,519906.0,28566.00,159429.0,17.40
031,"Kings County, California",152981.0,83519.0,69462.0,56039.0,9412.0,4246.0,5877.0,303.0,,26321.00,26210.0,17.13
033,"Lake County, California",68191.0,34380.0,33811.0,46872.0,1333.0,1187.0,850.0,229.0,,30484.00,11175.0,16.39
037,"Los Angeles County, California",9721138.0,4825592.0,4895546.0,2857095.0,739392.0,135624.0,1453709.0,24450.0,4766616.0,43171.00,1327645.0,13.66
039,"Madera County, California",160256.0,79198.0,81058.0,57165.0,3952.0,4053.0,4248.0,894.0,,30660.00,37382.0,23.33
041,"Marin County, California",256018.0,124273.0,131745.0,176130.0,6512.0,1743.0,17732.0,286.0,,87667.00,19279.0,7.53
045,"Mendocino County, California",89783.0,44738.0,45045.0,58834.0,101.0,3623.0,1646.0,0.0,,39330.00,16897.0,18.82
047,"Merced County, California",290014.0,147970.0,142044.0,91224.0,8209.0,4812.0,20463.0,978.0,,27846.00,55442.0,19.12
053,"Monterey County, California",432858.0,220203.0,212655.0,139376.0,7893.0,3121.0,24350.0,1999.0,,37009.00,49826.0,11.51
055,"Napa County, California",134300.0,68028.0,66272.0,71514.0,2500.0,2416.0,11558.0,520.0,,53996.00,11603.0,8.64
057,"Nevada County, California",102293.0,51791.0,50502.0,86636.0,394.0,313.0,2534.0,17.0,,50066.00,11100.0,10.85
059,"Orange County, California",3151184.0,1564705.0,1586479.0,1332294.0,48980.0,27456.0,711229.0,10737.0,1072163.0,51343.00,306743.0,9.73
061,"Placer County, California",417772.0,205189.0,212583.0,287061.0,8044.0,2469.0,36630.0,242.0,,55906.00,25850.0,6.19
065,"Riverside County, California",2473902.0,1243465.0,1230437.0,900330.0,158360.0,35524.0,177843.0,9014.0,1287208.0,35468.00,262151.0,10.60
067,"Sacramento County, California",1584169.0,781977.0,802192.0,693068.0,149587.0,19172.0,280270.0,18313.0,387775.0,40777.00,189609.0,11.97
069,"San Benito County, California",67579.0,33905.0,33674.0,21419.0,680.0,3231.0,2430.0,126.0,,42554.00,2430.0,3.60
071,"San Bernardino County, California",2193656.0,1101675.0,1091981.0,682003.0,169101.0,31791.0,185972.0,8064.0,1233601.0,31521.00,289277.0,13.19
073,"San Diego County, California",3276208.0,1660621.0,1615587.0,1557995.0,148911.0,34135.0,405408.0,16076.0,1146839.0,48258.00,336145.0,10.26
075,"San Francisco County, California",808437.0,414691.0,393746.0,315764.0,37361.0,8086.0,289678.0,4071.0,128162.0,89736.00,82817.0,10.24
077,"San Joaquin County, California",793229.0,397943.0,395286.0,250032.0,59834.0,13382.0,148324.0,3703.0,,35476.00,94436.0,11.91
079,"San Luis Obispo County, California",282013.0,141682.0,140331.0,195388.0,3148.0,3587.0,11697.0,711.0,,52583.00,32721.0,11.60
081,"San Mateo County, California",729181.0,364282.0,364899.0,277989.0,15916.0,8007.0,231998.0,9670.0,173296.0,80121.00,52195.0,7.16
083,"Santa Barbara County, California",443837.0,223288.0,220549.0,219981.0,9039.0,9107.0,23419.0,463.0,210617.0,44769.00,60837.0,13.71
085,"Santa Clara County, California",1870945.0,956477.0,914468.0,554544.0,42665.0,17128.0,757436.0,7186.0,462494.0,75876.00,136542.0,7.30
087,"Santa Cruz County, California",264370.0,132268.0,132102.0,153407.0,2070.0,3962.0,13636.0,506.0,,51757.00,32759.0,12.39
