State,Population,Male,Female,White,Black,Native,Asian,Pacific,Hispanic,Per_Capita_Income,Poverty_Count,Poverty_Rate
Alabama,5074296.0,2461248.0,2613048.0,3302528.0,1302035.0,24400.0,78893.0,4977.0,246477.0,33777.00,800395.0,15.77
Alaska,733583.0,385667.0,347916.0,437533.0,22202.0,95268.0,46184.0,14724.0,56491.0,43054.00,78608.0,10.72
Arizona,7359197.0,3678381.0,3680816.0,4254015.0,340760.0,301909.0,266441.0,15099.0,2388520.0,39819.00,897852.0,12.20
Arkansas,3045637.0,1504488.0,1541149.0,2103849.0,437331.0,22250.0,48921.0,14229.0,255416.0,31380.00,496311.0,16.30
California,39029342.0,19536425.0,19492917.0,15175598.0,2121422.0,504589.0,6054038.0,159920.0,15732184.0,46661.00,4670324.0,11.97
Colorado,5839926.0,2960896.0,2879030.0,4106707.0,235519.0,71351.0,190181.0,6916.0,1314962.0,49071.00,540517.0,9.26
Connecticut,3626205.0,1776689.0,1849516.0,2357855.0,380229.0,10269.0,175069.0,1214.0,658978.0,51581.00,345695.0,9.53
Delaware,1018396.0,494657.0,523739.0,610378.0,224761.0,3670.0,41501.0,86.0,105300.0,42571.00,93285.0,9.16
District of Columbia,671803.0,319763.0,352040.0,257963.0,282578.0,3130.0,27961.0,836.0,78911.0,71699.00,85676.0,12.75
Florida,22244823.0,10953468.0,11291355.0,12445576.0,3345420.0,90848.0,640512.0,12446.0,6025039.0,40278.00,2762679.0,12.42
Georgia,10912876.0,5323951.0,5588925.0,5594859.0,3384201.0,55227.0,485027.0,8466.0,1132604.0,38378.00,1348344.0,12.36
Hawaii,1440196.0,725309.0,714887.0,319118.0,26010.0,4100.0,506753.0,143444.0,160103.0,42710.00,142378.0,9.89
Idaho,1939033.0,976925.0,962108.0,1588044.0,12689.0,24880.0,26027.0,3266.0,261921.0,35980.00,202517.0,10.44
Illinois,12582032.0,6229035.0,6352997.0,7683527.0,1689724.0,86968.0,754911.0,7352.0,2299726.0,43317.00,1469643.0,11.68
