lat,long,state,county,city,district_name,school_name,date,day_of_week,time,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,age_shooter2,gender_shooter2,race_ethnicity_shooter2,shooter_relationship2,shooter_deceased2,deceased_notes2,white,black,hispanic,asian,american_indian_alaska_native,hawaiian_native_pacific_islander,two_or_more,resource_officer,weapon,weapon_source,staffing,lunch
39.60391,-105.075,Colorado,Jefferson County,Littleton,Jefferson County R-1,Columbine High School,4/20/1999,Tuesday,11:19 AM,public,1965,13,21,34,indiscriminate,18,m,w,student,1,suicide,17,m,w,student,1,suicide,1783,16,112,42,12,,,1,"12-gauge Savage-Springfield 67H pump-action shotgun, Hi-Point 995 Carbine 9 mm carbine, 9_19mm Intratec TEC-9 semi-automatic handgun, 12-gauge Stevens 311D double-barreled sawed-off shotgun",purchased from friends,89.6,41
30.529958,-91.169966,Louisiana,East Baton Rouge Parish,Baton Rouge,East Baton Rouge Parish School Board,Scotlandville Middle School,4/22/1999,Thursday,12:30 PM,public,588,0,1,1,targeted,14,m,,former student (expelled),0,,,,,,,,5,583,0,0,0,,,0,.22 caliber pistol,,39,495
33.626922,-84.04796,Georgia,Rockdale County,Conyers,Rockdale County,Heritage High School,5/20/1999,Thursday,8:03 AM,public,1369,0,6,6,indiscriminate,15,m,w,student,0,,,,,,,,1189,136,28,15,1,,,1,".22 caliber rifle, 357-caliber Magnum handgun",,84,125
39.921509,-75.234108,Pennsylvania,Philadelphia County,Philadelphia,Philadelphia City SD,John Bartram High School,10/4/1999,Monday,10:00 AM,public,3147,0,1,1,targeted,17,m,,student,0,,,,,,,,209,2736,27,170,5,,,1,RG .25-caliber pistol,purchased from friend,41,2007
42.285268,-71.075901,Massachusetts,Suffolk County,Boston,Boston,Dorchester High School,11/3/1999,Wednesday,7:40 AM,public,1116,0,1,1,targeted,,m,,,0,,,,,,,,40,755,287,29,5,,,0,,,,543
32.261547,-107.762986,New Mexico,Luna County,Deming,Deming Public Schools,Deming Middle School,11/19/1999,Friday,12:45 PM,public,753,1,0,1,accidental or targeted,12,m,h,student,0,,,,,,,,160,6,583,2,2,,,0,.22-caliber Colt revolver,home,44,502
35.795556,-95.241921,Oklahoma,Muskogee County,Fort Gibson,Fort Gibson,Fort Gibson Middle School,12/6/1999,Monday,7:45 AM,public,407,0,5,5,indiscriminate,13,m,ai,student,0,,,,,,,,239,3,12,0,153,,,0,Taurus 9mm pistol,father,25.4,146
28.273253,-82.687231,Florida,Pasco County,New Port Richey,Pasco,Ridgewood High School,1/19/2000,Wednesday,3:00 PM,public,1852,1,0,1,accidental,16,m,w,student,0,,,,,,,,1697,28,96,26,5,,,1,.22-caliber Magnum handgun,stolen,85,654
37.286387,-120.494808,California,Merced County,Merced,Merced City Elementary,Alicia Reyes Elementary School,1/26/2000,Wednesday,8:34 AM,public,734,0,0,0,targeted,13,m,,no connection,0,,,,,,,,82,40,389,222,1,,,0,.22 caliber revolver,,36,643
41.885272,-87.766042,Illinois,Cook County,Chicago,City of Chicago School District 299,Duke Ellington Elementary School,2/14/2000,Monday,,public,736,0,1,1,accidental,11,m,,student,0,,,,,,,,0,736,0,0,0,,,0,,,37,
34.948919,-90.035423,Mississippi,DeSoto County,Horn Lake,Desoto County School District,Horn Lake High School,2/22/2000,Tuesday,,public,1197,0,0,0,targeted,,m,,,0,,,,,,,,991,166,25,14,1,,,0,handgun,,65,324
35.255494,-96.943184,Oklahoma,Pottawatomie County,Tecumseh,Tecumseh,Tecumseh High School,2/24/2000,Thursday,9:00 AM,public,711,0,0,0,targeted,19,m,,former boyfriend of student,0,,,,,,,,527,8,12,2,162,,,0,,,45.5,184
43.079604,-83.706037,Michigan,Genesee County,Mount Morris Township,Beecher Community School District,Buell Elementary School,2/29/2000,Tuesday,10:00 AM,public,459,1,0,1,targeted,6,m,b,student,0,,,,,,,,125,261,37,0,1,,,0,.32-caliber semiautomatic handgun,"uncle's friend, found in open shoebox",20,421
34.010732,-95.511435,Oklahoma,Choctaw County,Hugo,Hugo,Hugo High School,4/6/2000,Thursday,12:00 PM,public,499,0,1,1,targeted,33,f,,parent of student,0,,,,,,,,263,117,11,1,107,,,1,small-caliber pistol,legally purchased by shooter,34.7,236
31.56269,-110.29924,Arizona,Cochise County,Sierra Vista,Sierra Vista Unified District,Carmichael Elementary School,5/10/2000,Wednesday,1:30 PM,public,397,1,0,1,targeted,39,m,,spouse of teacher,1,suicide,,,,,,,178,51,154,8,6,,,0,,,24.5,
26.451351,-80.085968,Florida,Palm Beach County,Lake Worth,Palm Beach County School District,Lake Worth Middle School,5/26/2000,Friday,3:00 PM,public,1525,1,0,1,targeted,13,m,b,student,0,,,,,,,,414,560,528,17,6,,,0,.25-caliber handgun,grandfather,95,1186
47.493015,-122.233115,Washington,King County,Renton,Renton,Dimmitt Middle School,7/17/2000,Monday,10:30 AM,public,956,0,0,0,indiscriminate,13,m,w,student in summer school,0,,,,,,,,276,375,73,218,14,,,0,.22-caliber handgun,grandparents,42.3,
39.251506,-84.555558,Ohio,Hamilton County,Mount Healthy,Mount Healthy City SD,Mount Healthy North Junior High,9/18/2000,Monday,,public,341,0,0,0,indiscriminate,14,m,,student,0,,,,,,,,149,192,0,0,0,,,1,.380-caliber semiautomatic handgun,relatives,22.8,163
29.939676,-90.090046,Louisiana,Orleans Parish,New Orleans,Orleans Parish School Board,Carter G. Woodson Middle School,9/26/2000,Tuesday,12:00 PM,public,686,0,1,1,targeted,13,m,,student,0,,,,,,,,0,685,1,0,0,,,0,.38-caliber revolver,,45,551
34.160149,-119.1822,California,Ventura County,Oxnard,Oxnard Union High,Hueneme High School,1/10/2001,Wednesday,12:50 PM,public,2764,0,0,0,targeted,17,m,h,not a student but often hung around the school,1,killed by police,,,,,,,311,124,2145,134,50,,,1,handgun,,110.2,1169
39.316116,-76.590038,Maryland,Baltimore City,Baltimore,Baltimore City Public Schools,Lake Clifton Eastern High School,1/17/2001,Wednesday,8:45 AM,public,2236,1,0,1,targeted,19,m,,none,0,,,,,,,,24,2205,2,4,1,,,0,.32-caliber handgun,,126.5,914
32.759323,-96.744389,Texas,Dallas County,Dallas,Dallas ISD,Pearl C. Anderson Middle School,2/6/2001,Tuesday,,public,879,0,1,1,targeted,14,m,,student (suspended),0,,,,,,,,3,793,82,0,1,,,1,small revolver,,89.3,607
32.85756,-116.971045,California,San Diego County,Santee,Grossmont Union High,Santana High School,3/5/2001,Monday,9:20 AM,public,1894,2,13,15,indiscriminate,15,m,w,student,0,,,,,,,,1591,24,174,58,8,,,1,.22-caliber revolver,father,79.9,202
41.249266,-76.996564,Pennsylvania,Lycoming County,Williamsport,,Bishop Neumann Junior-Senior High,3/7/2001,Wednesday,12:00 PM,private,227,0,1,1,targeted,14,f,w,student,0,,,,,,,,208,10,5,4,0,,,0,.22-caliber revolver,father,21.125,
32.800101,-116.916889,California,San Diego County,El Cajon,Grossmont Union High,Granite Hills High School,3/22/2001,Thursday,1:00 PM,public,2846,0,5,5,targeted and indiscriminate,18,m,,student,0,,,,,,,,2256,67,376,66,50,,,1,Mossberg pump-action 12-gauge shotgun,,112.2,436
41.536645,-87.34132,Indiana,Lake County,Gary,Gary Community School Corp,Lew Wallace High School,3/30/2001,Friday,8:15 AM,public,1179,1,0,1,targeted,17,m,,former student (expelled),0,,,,,,,,2,1135,39,3,0,,,1,pistol,,64,446
32.524187,-92.070624,Louisiana,Ouachita Parish,Monroe,City of Monroe School Board,Monroe City Alternative Center,4/20/2001,Friday,7:20 AM,public,65,0,0,0,targeted,14,m,,student,0,,,,,,,,,,,,,,,0,.380 caliber semi-automatic pistol,,,
32.305062,-96.629758,Texas,Ellis County,Ennis,Ennis ISD,Ennis High School,5/15/2001,Tuesday,12:00 PM,public,1279,0,0,0,hostage suicide,16,m,,student,1,suicide,,,,,,,692,202,383,2,0,,,0,.357 Magnum pistol,,93.7,447
34.061499,-118.263286,California,Los Angeles County,Los Angeles,Los Angeles Unified,Belmont High School,7/30/2001,Monday,7:20 AM,public,5264,0,1,1,targeted,,m,,,0,,,,,,,,27,98,4679,456,4,,,1,revolver,,194.3,4046
39.044149,-84.49833,Kentucky,Kenton County,Covington,Covington Independent,Latonia Elementary School,9/12/2001,Wednesday,3:00 PM,public,526,1,0,1,targeted,30,f,w,parent of student,0,,,,,,,,441,81,0,1,3,,,0,.380-caliber semiautomatic pistol,,16.8,350
33.844274,-118.384456,California,Los Angeles County,Redondo Beach,Redondo Beach Unified,Redondo Union High School,10/26/2001,Friday,10:00 AM,public,2069,0,1,1,accidental,16,m,,student,0,,,,,,,,1199,121,518,216,15,,,0,.38-caliber handgun,,94.4,465
